case_id,exception_class_derived,abs_variance_pct,exposure_eur,outcome_label,B_prediction,B_confidence,tools_used,agent_reasoning,manual_classification,inspector_note
4508061204_00180,NO_EXCEPTION,0.0,781.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507039284_00050,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,1903.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4507010384_00010,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,9.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508072335_00290,NO_EXCEPTION,0.0,627.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508074690_00470,NO_EXCEPTION,0.0,1668.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508069417_00270,NO_EXCEPTION,0.0,302.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507013302_00010,QUANTITY_VARIANCE,100.03667033370003,5455.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.69,get_invoice|lookup_po|lookup_policy|lookup_vendor_history,"MOCK MODE — deterministic stand-in, not a model output.",,
4508069550_00530,NO_EXCEPTION,0.0,241.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508068940_00040,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,816.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508057903_00220,NO_EXCEPTION,0.0,89.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
