vendor,n_cases,block_rate,mean_abs_variance_pct,exposure_eur,blocked_exposure_eur,cum_share_of_blocked_exposure
vendorID_0201,3,0.3333333333333333,0.0,3880769.0,3348498.0,0.6983431207791249
vendorID_1023,28,0.03571428571428571,0.0,9908207.0,354392.0,0.7722530395723138
vendorID_0153,123,0.056910569105691054,0.0,5890922.0,353164.0,0.8459068538815471
vendorID_1344,2,0.5,0.0,392565.0,197892.0,0.8871780497601836
vendorID_0233,364,0.15934065934065933,412.93596194305695,1307086.0,188689.0,0.9265299218881324
vendorID_0479,235,0.00425531914893617,0.0,21939532.0,127742.0,0.9531710448437283
vendorID_0684,30,0.06666666666666667,0.0,1170502.0,68004.0,0.9673535605822665
vendorID_1860,26,0.3076923076923077,0.0,147211.0,41056.0,0.9759159593553007
vendorID_1519,1,1.0,0.0,29996.0,29996.0,0.9821717493396133
vendorID_0149,299,0.006688963210702341,0.0,229329.0,16906.0,0.9856975656309451
vendorID_1864,27,0.037037037037037035,0.0,132221.0,15196.0,0.9888667543428271
vendorID_1917,1,1.0,0.0,13338.0,13338.0,0.9916484494625352
vendorID_1382,58,0.13793103448275862,0.0,110731.0,11007.0,0.9939440048818353
vendorID_0545,60,0.016666666666666666,0.0,678934.0,10381.0,0.9961090054094773
vendorID_0571,102,0.23529411764705882,0.0,38888.0,8720.0,0.997927597510531
